ticker,date,time,open,high,low,close,volume,provider,fetched_at_utc,error
SMTC,2026-05-22,22:00:18,155,164.48,151.15,156.78,6409877,stooq_quote_csv,2026-05-25T05:38:04+00:00,
MOD,2026-05-22,22:00:24,263,268,251.62,260.52,1347422,stooq_quote_csv,2026-05-25T05:38:04+00:00,
POWL,2026-05-22,22:00:18,274.81,280.44,267.63,279.22,409966,stooq_quote_csv,2026-05-25T05:38:05+00:00,
FORM,2026-05-22,22:00:19,129.78,132.02,127.5101,128.99,1439045,stooq_quote_csv,2026-05-25T05:38:05+00:00,
VECO,2026-05-22,22:00:19,58.44,60.28,57.51,59.55,584651,stooq_quote_csv,2026-05-25T05:38:06+00:00,
POET,2026-05-22,22:00:18,14.925,15.4,14.32,14.59,33765990,stooq_quote_csv,2026-05-25T05:38:06+00:00,
AXTI,2026-05-22,22:00:18,119.6,141.37,116.01,140.83,10207583,stooq_quote_csv,2026-05-25T05:38:06+00:00,
PPSI,2026-05-22,21:59:29,4.98,5.462,4.96,5.21,385510,stooq_quote_csv,2026-05-25T05:38:07+00:00,
