ticker,date,close,ema20,ema50,ema200,boll20_mid,boll20_upper,boll20_lower,boll20_percent_b,boll20_bandwidth,close_vs_ema20_pct,close_vs_ema50_pct,close_vs_ema200_pct,trend_state,history_points,provider,fetched_at_utc,error
SMTC,2026-05-22,156.78,128.1946,110.3423,82.626,124.4455,159.5155,89.3755,0.961,0.5636,22.2985,42.0852,89.7465,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:07+00:00,
MOD,2026-05-22,260.52,259.4306,243.3814,187.1394,262.418,293.8479,230.9881,0.4698,0.2395,0.4199,7.0419,39.2117,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
POWL,2026-05-22,279.22,275.9966,245.7314,167.2062,284.62,326.7541,242.4859,0.4359,0.2961,1.1679,13.6281,66.9914,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
FORM,2026-05-22,128.99,130.6577,122.407,83.7851,134.5945,154.0032,115.1858,0.3556,0.2884,-1.2764,5.378,53.9533,mixed,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
VECO,2026-05-22,59.55,55.0187,47.7418,35.1252,55.524,65.2127,45.8353,0.7078,0.349,8.2359,24.7334,69.5365,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
POET,2026-05-22,14.59,12.6369,10.1256,7.3135,11.6795,19.1464,4.2126,0.6949,1.2786,15.4554,44.0899,99.4933,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
AXTI,2026-05-22,140.83,107.5613,84.5529,41.4065,106.147,145.2532,67.0408,0.9434,0.7368,30.9299,66.5584,240.1155,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:08+00:00,
PPSI,2026-05-22,5.21,4.1507,3.8033,3.7291,4.1395,5.0227,3.2563,1.106,0.4267,25.5218,36.9855,39.7103,strong_uptrend,251,yahoo_chart_1y_1d,2026-05-25T05:38:09+00:00,
