theme,events,abs_median_20d_%,abs_mean_20d_%,abs_hit_rate_20d,abs_n_20d,xqqq_median_20d_%,xqqq_mean_20d_%,xqqq_hit_rate_20d,xqqq_n_20d,xsmh_median_20d_%,xsmh_mean_20d_%,xsmh_hit_rate_20d,xsmh_n_20d,abs_median_60d_%,abs_mean_60d_%,abs_hit_rate_60d,abs_n_60d,xqqq_median_60d_%,xqqq_mean_60d_%,xqqq_hit_rate_60d,xqqq_n_60d,xsmh_median_60d_%,xsmh_mean_60d_%,xsmh_hit_rate_60d,xsmh_n_60d,abs_median_120d_%,abs_mean_120d_%,abs_hit_rate_120d,abs_n_120d,xqqq_median_120d_%,xqqq_mean_120d_%,xqqq_hit_rate_120d,xqqq_n_120d,xsmh_median_120d_%,xsmh_mean_120d_%,xsmh_hit_rate_120d,xsmh_n_120d,abs_median_252d_%,abs_mean_252d_%,abs_hit_rate_252d,abs_n_252d,xqqq_median_252d_%,xqqq_mean_252d_%,xqqq_hit_rate_252d,xqqq_n_252d,xsmh_median_252d_%,xsmh_mean_252d_%,xsmh_hit_rate_252d,xsmh_n_252d
advanced_packaging_hbm,5,2.59,12.05,1.0,5,3.96,8.38,0.8,5,1.03,4.71,0.8,5,12.09,11.79,0.75,4,4.2,4.07,0.75,4,-2.4,-0.99,0.25,4,6.02,9.21,0.5,4,-6.35,-4.17,0.5,4,-12.84,-7.72,0.25,4,6.62,17.71,0.5,4,-15.43,-6.65,0.5,4,-29.28,-23.25,0.25,4
all_ai_supply_chain,1,-1.83,-1.83,0.0,1,2.98,2.98,1.0,1,2.53,2.53,1.0,1,21.3,21.3,1.0,1,16.42,16.42,1.0,1,8.92,8.92,1.0,1,25.01,25.01,1.0,1,6.34,6.34,1.0,1,3.57,3.57,1.0,1,128.56,128.56,1.0,1,88.64,88.64,1.0,1,77.28,77.28,1.0,1
copper_interconnect,2,5.61,5.61,1.0,2,8.13,8.13,1.0,2,5.15,5.15,1.0,2,-2.05,-2.05,0.5,2,-1.03,-1.03,0.5,2,-7.31,-7.31,0.0,2,1.69,1.69,0.5,2,-1.06,-1.06,0.5,2,-1.29,-1.29,0.5,2,39.39,39.39,1.0,2,25.8,25.8,1.0,2,15.11,15.11,0.5,2
optical_networking,6,10.15,12.27,0.667,6,8.05,9.96,0.833,6,3.93,6.27,0.667,6,13.52,27.06,0.6,5,4.1,23.43,0.6,5,-7.26,17.66,0.4,5,19.91,48.52,0.8,5,10.04,40.51,0.8,5,14.15,31.03,0.6,5,56.78,70.84,1.0,4,43.2,46.22,1.0,4,32.52,20.12,0.75,4
power_cooling,5,0.2,6.58,0.6,5,0.72,2.9,0.6,5,2.74,-0.77,0.6,5,8.68,14.52,0.75,4,0.79,6.81,0.5,4,-5.81,1.74,0.25,4,35.16,33.59,1.0,4,18.88,20.21,0.75,4,13.11,16.65,1.0,4,44.58,77.28,1.0,4,22.52,52.91,0.5,4,8.67,36.31,0.75,4
storage_memory,1,-1.06,-1.06,0.0,1,-9.96,-9.96,0.0,1,-13.44,-13.44,0.0,1,3.38,3.38,1.0,1,-5.93,-5.93,0.0,1,-11.68,-11.68,0.0,1,20.3,20.3,1.0,1,4.39,4.39,1.0,1,-2.41,-2.41,0.0,1,84.04,84.04,1.0,1,45.75,45.75,1.0,1,-3.16,-3.16,0.0,1
