ticker,company,currency,price_date,last_close,market_cap,enterprise_value,total_revenue_ttm,revenue_growth,gross_margin,ebitda_margin,operating_margin,trailing_pe,forward_pe,price_to_sales_ttm,debt_to_equity,total_cash,total_debt,free_cashflow
ACMR,"ACM Research, Inc.",USD,2026-05-22,73.3499984741211,5069180928,4431449600,960225024,0.342,0.44235,0.14435,0.15642999,55.992367,32.551823,5.2791595,16.178,1265168000,337060992,-142420128
HPS-A.TO,"HAMMOND POWER SOLUTIONS INC., C",CAD,2026-05-22,299.80999755859375,3569215232,3612509184,961692032,0.315,0.30009001,0.1148,0.11043,54.313404,26.18428,3.711391,22.176,38933000,82227000,27434750
KLIC,"Kulicke and Soffa Industries, I",USD,2026-05-22,104.4000015258789,5463552512,5015474176,768217024,0.498,0.53565,0.15246001,0.15896,101.35923,24.641994,7.111991,4.64,487864000,39786000,17709250
NEO.TO,NEO PERFORMANCE MATERIALS INC,CAD,2026-05-22,29.860000610351562,1253820544,1371832576,512144992,0.274,0.31529,0.121309996,0.17138,,19.333551,2.448175,41.698,41714000,159254000,-44514124
POET,POET Technologies Inc.,USD,2026-05-22,14.59000015258789,2518167040,1802051712,1074865,10.753,1.0,0.0,-41.7443,,Infinity,2342.7751,3.845,313398304,7066198,77321920
AEHR,Aehr Test Systems,USD,2026-05-22,95.0199966430664,2988688128,2961802240,45255000,-0.437,0.30724,-0.26357,-0.41006002,,633.4666,66.04106,7.223,36911000,10025000,-7451625
COHU,"Cohu, Inc.",USD,2026-05-22,46.529998779296875,2195068928,2036446848,481278016,0.293,0.43469003,-0.00247,-0.08298001,,31.932415,4.560917,42.923,488700000,330078016,69161000
PPSI,"Pioneer Power Solutions, Inc.",USD,2026-05-22,5.210000038146973,57811548,45655544,25153000,-0.367,0.15346,-0.20228,-0.47351003,,-43.416668,2.2983956,5.32,13583000,1427000,-9818125
