ticker,company,currency,price_date,last_close,market_cap,enterprise_value,total_revenue_ttm,revenue_growth,gross_margin,ebitda_margin,operating_margin,trailing_pe,forward_pe,price_to_sales_ttm,debt_to_equity,total_cash,total_debt,free_cashflow
CAMT,Camtek Ltd.,USD,2026-05-22,167.3699951171875,7706463744,7524014080,499092992,0.025,0.50969005,0.27756,0.22412,172.54639,36.989235,15.440938,71.471,670260992,487811008,
ONTO,Onto Innovation Inc.,USD,2026-05-22,262.25,13045251072,12391086080,1030604992,0.095,0.54186,0.25899,0.16753,121.97674,27.609417,12.657858,,654163968,0,197242256
FORM,"FormFactor, Inc.",USD,2026-05-22,128.99000549316406,10055386112,9783996416,839780992,0.32,0.42200002,0.16361,0.17673999,149.98837,47.4446,11.97382,3.012,303280992,31891000,-566875
MXL,"MaxLinear, Inc",USD,2026-05-22,99.16000366210938,8879377408,8969477120,508896000,0.43,0.57155997,-0.072909996,-0.12199,,53.078682,17.448315,33.285,61077000,151176992,22663750
SMTC,Semtech Corporation,USD,2026-05-22,156.77999877929688,14598492160,14895698944,1049974976,0.093,0.5251,0.15531999,0.098570004,,53.04704,13.903657,94.229,195179008,517993984,146607376
MTSI,MACOM Technology Solutions Hold,USD,2026-05-22,385.9800109863281,29448644608,29197809664,1073816064,0.225,0.55684,0.21884,0.17591,164.24683,56.38976,27.424292,29.203,664857984,414024000,81527872
