ticker,company,currency,market_cap,enterprise_value,shares_outstanding,float_shares,total_revenue_ttm,revenue_growth_yoy,gross_margin_ttm,operating_margin_ttm,ebitda_margin_ttm,free_cashflow_ttm,operating_cashflow_ttm,total_cash,total_debt,debt_to_equity,current_ratio,price_to_sales_ttm,forward_pe,trailing_pe,short_percent_float,held_by_institutions,beta,52w_high,52w_low
HPS-A.TO,"HAMMOND POWER SOLUTIONS INC., C",CAD,3569215232,3612509184,9126624,8643689,961692032,0.315,0.30009001,0.11043,0.1148,27434750,41309000,38933000,82227000,22.176,1.824,3.711391,26.18428,54.313404,,0.36495999,1.127,356.8,96.73
ACMR,"ACM Research, Inc.",USD,5069180928,4431449600,64117679,54476580,960225024,0.342,0.44235,0.15642999,0.14435,-142420128,-45145000,1265168000,337060992,16.178,3.513,5.2791595,32.551823,55.992367,0.054,0.74285007,1.821,76.36,21.873
MXL,"MaxLinear, Inc",USD,8879377408,8969477120,89545959,84320057,508896000,0.43,0.57155997,-0.12199,-0.072909996,22663750,22147000,61077000,151176992,33.285,1.701,17.448315,53.078682,,0.0612,0.87501997,3.964,104.27,10.96
AEHR,Aehr Test Systems,USD,2988688128,2961802240,31453254,28395998,45255000,-0.437,0.30724,-0.41006002,-0.26357,-7451625,-7444000,36911000,10025000,7.223,10.97,66.04106,633.4666,,0.1584,0.72719,3.271,108.75,9.14
COHU,"Cohu, Inc.",USD,2195068928,2036446848,47175347,45912463,481278016,0.293,0.43469003,-0.08298001,-0.00247,69161000,52187000,488700000,330078016,42.923,6.429,4.560917,31.932415,,0.1616,1.09363,1.61,52.43,16.95
KLIC,"Kulicke and Soffa Industries, I",USD,5463552512,5015474176,52332877,50568736,768217024,0.498,0.53565,0.15896,0.15246001,17709250,16124000,487864000,39786000,4.64,4.207,7.111991,24.641994,101.35923,0.0295,0.93209,1.67,107.01,31.32
NEO.TO,NEO PERFORMANCE MATERIALS INC,CAD,1253820544,1371832576,41989972,40452719,512144992,0.274,0.31529,0.17138,0.121309996,-44514124,-74578000,41714000,159254000,41.698,1.756,2.448175,19.333551,,,0.26613,1.559,33.0,9.21
